년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-07-01,1,발전량,305.76 ,13.00 ,53.22 ,0.00 ,53.22 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.36 ,5.16 ,10.38 ,17.10 ,23.64 ,40.20 ,53.22 ,29.58 ,28.74 ,31.20 ,28.62 ,34.38 ,2.70 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-02,1,발전량,255.00 ,11.00 ,34.14 ,0.00 ,34.14 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.30 ,2.52 ,7.86 ,16.86 ,27.60 ,34.14 ,26.10 ,22.62 ,22.50 ,14.94 ,16.08 ,29.64 ,19.74 ,14.04 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-03,1,발전량,130.44 ,5.00 ,22.38 ,0.00 ,22.38 ,0.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.94 ,4.80 ,9.06 ,13.74 ,10.74 ,8.46 ,12.12 ,22.38 ,21.72 ,14.34 ,5.88 ,3.66 ,0.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-04,1,발전량,202.08 ,8.00 ,33.18 ,0.00 ,33.18 ,1.56 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.56 ,8.94 ,17.70 ,27.12 ,28.74 ,14.34 ,12.66 ,33.18 ,21.48 ,23.22 ,11.28 ,1.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-05,1,발전량,309.54 ,13.00 ,45.54 ,0.00 ,45.54 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,9.96 ,18.12 ,21.30 ,22.98 ,38.52 ,34.50 ,43.68 ,45.54 ,34.38 ,17.58 ,14.10 ,5.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-06,1,발전량,93.06 ,4.00 ,19.14 ,0.00 ,19.14 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.72 ,1.74 ,2.82 ,9.72 ,19.14 ,12.78 ,7.80 ,16.32 ,6.36 ,4.38 ,4.56 ,4.26 ,2.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-07,1,발전량,366.00 ,15.00 ,52.74 ,0.00 ,52.74 ,2.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,7.68 ,15.42 ,24.48 ,39.18 ,45.06 ,52.74 ,49.32 ,47.46 ,32.04 ,33.78 ,13.38 ,2.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-08,1,발전량,355.38 ,15.00 ,46.68 ,0.00 ,46.68 ,2.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.76 ,5.76 ,14.82 ,28.62 ,34.92 ,42.54 ,27.90 ,46.68 ,44.28 ,44.40 ,37.98 ,20.82 ,3.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-09,1,발전량,139.98 ,6.00 ,31.26 ,0.00 ,31.26 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.80 ,4.38 ,10.50 ,17.76 ,11.94 ,29.22 ,31.26 ,11.76 ,10.68 ,5.04 ,3.90 ,1.44 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-10,1,발전량,133.98 ,6.00 ,33.66 ,0.00 ,33.66 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.72 ,8.58 ,17.46 ,8.94 ,19.02 ,33.66 ,22.56 ,12.72 ,10.26 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-11,1,발전량,242.58 ,10.00 ,40.32 ,0.00 ,40.32 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.34 ,8.58 ,13.74 ,19.86 ,31.98 ,36.18 ,32.34 ,40.32 ,32.70 ,15.96 ,4.44 ,3.78 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-12,1,발전량,65.70 ,3.00 ,10.68 ,0.00 ,10.68 ,1.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.02 ,4.74 ,7.26 ,4.68 ,6.72 ,4.80 ,10.68 ,9.96 ,6.30 ,3.30 ,4.50 ,1.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-13,1,발전량,48.06 ,2.00 ,11.58 ,0.00 ,11.58 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.90 ,4.02 ,6.18 ,7.56 ,11.58 ,9.72 ,4.32 ,1.98 ,1.32 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-14,1,발전량,50.82 ,2.00 ,11.04 ,0.00 ,11.04 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.78 ,1.74 ,2.34 ,7.86 ,5.76 ,11.04 ,7.32 ,4.92 ,6.24 ,1.74 ,0.66 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-15,1,발전량,81.00 ,3.00 ,14.10 ,0.00 ,14.10 ,0.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.66 ,5.04 ,7.32 ,8.16 ,14.10 ,10.44 ,6.12 ,6.78 ,5.40 ,5.64 ,6.48 ,4.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-16,1,발전량,401.16 ,17.00 ,56.58 ,0.00 ,56.58 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.10 ,7.02 ,15.24 ,23.64 ,32.28 ,40.92 ,41.28 ,32.76 ,54.06 ,56.58 ,48.54 ,29.88 ,16.50 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-17,1,발전량,466.86 ,19.00 ,59.94 ,0.00 ,59.94 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,4.38 ,12.06 ,27.00 ,39.48 ,49.38 ,56.04 ,59.94 ,58.74 ,56.58 ,48.48 ,35.58 ,16.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-18,1,발전량,246.30 ,10.00 ,36.72 ,0.00 ,36.72 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.06 ,6.00 ,10.20 ,18.24 ,19.74 ,27.00 ,29.28 ,15.24 ,25.14 ,23.52 ,36.72 ,26.34 ,8.10 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-19,1,발전량,76.68 ,3.00 ,10.44 ,0.00 ,10.44 ,0.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.78 ,6.12 ,9.42 ,7.68 ,7.26 ,10.44 ,7.32 ,6.48 ,7.38 ,5.46 ,5.82 ,2.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-20,1,발전량,227.76 ,9.00 ,52.20 ,0.00 ,52.20 ,1.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.68 ,5.52 ,7.44 ,4.62 ,13.14 ,8.22 ,26.64 ,45.72 ,52.20 ,50.16 ,9.78 ,2.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-21,1,발전량,253.80 ,11.00 ,40.44 ,0.00 ,40.44 ,2.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.28 ,3.84 ,16.74 ,15.42 ,13.74 ,37.38 ,40.44 ,28.80 ,22.80 ,33.12 ,29.52 ,5.82 ,3.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-22,1,발전량,75.96 ,3.00 ,18.12 ,0.00 ,18.12 ,0.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.32 ,0.90 ,8.34 ,18.12 ,14.94 ,6.78 ,3.54 ,6.24 ,8.94 ,4.74 ,2.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-23,1,발전량,54.78 ,2.00 ,10.26 ,0.00 ,10.26 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.24 ,2.82 ,3.36 ,8.16 ,4.38 ,4.02 ,8.40 ,10.26 ,7.56 ,3.96 ,0.06 ,1.56 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-24,1,발전량,111.12 ,5.00 ,25.56 ,0.00 ,25.56 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.86 ,5.58 ,11.40 ,7.92 ,11.04 ,25.56 ,18.30 ,12.60 ,6.96 ,5.88 ,3.54 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-25,1,발전량,148.38 ,6.00 ,23.04 ,0.00 ,23.04 ,1.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.94 ,9.12 ,13.80 ,13.44 ,18.06 ,23.04 ,14.64 ,16.74 ,13.08 ,8.10 ,6.60 ,7.44 ,1.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-26,1,발전량,421.02 ,18.00 ,58.14 ,0.00 ,58.14 ,1.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.38 ,5.82 ,10.38 ,26.16 ,38.16 ,47.64 ,55.14 ,58.14 ,57.54 ,50.88 ,43.80 ,19.26 ,6.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-27,1,발전량,59.16 ,2.00 ,12.18 ,0.00 ,12.18 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.66 ,2.64 ,3.18 ,10.56 ,9.96 ,7.80 ,12.18 ,6.90 ,3.36 ,1.56 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-28,1,발전량,74.28 ,3.00 ,14.64 ,0.00 ,14.64 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.68 ,14.64 ,12.12 ,7.68 ,9.84 ,4.86 ,3.54 ,6.96 ,4.86 ,4.98 ,2.64 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-29,1,발전량,105.30 ,4.00 ,26.70 ,0.00 ,26.70 ,0.84 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.98 ,7.14 ,10.50 ,22.74 ,26.70 ,3.12 ,13.14 ,6.72 ,2.34 ,6.66 ,0.84 ,0.96 ,2.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-30,1,발전량,130.98 ,5.00 ,33.06 ,0.00 ,33.06 ,0.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.18 ,5.52 ,12.78 ,27.42 ,33.06 ,23.76 ,5.64 ,5.04 ,6.84 ,7.26 ,2.22 ,0.36 ,0.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-31,1,발전량,313.32 ,13.00 ,49.74 ,0.00 ,49.74 ,1.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.18 ,8.64 ,13.86 ,24.66 ,34.92 ,37.62 ,36.24 ,49.74 ,32.28 ,29.04 ,28.14 ,13.14 ,1.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-01,1,발전량,338.46 ,14.00 ,56.64 ,0.00 ,56.64 ,1.56 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.56 ,8.10 ,14.40 ,24.48 ,36.00 ,39.24 ,49.56 ,56.64 ,53.82 ,27.54 ,15.00 ,9.66 ,2.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-02,1,발전량,323.34 ,13.00 ,53.94 ,0.00 ,53.94 ,1.32 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.32 ,8.70 ,18.36 ,26.70 ,32.70 ,42.24 ,41.04 ,53.94 ,38.04 ,30.30 ,14.94 ,12.24 ,2.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-03,1,발전량,231.12 ,10.00 ,40.50 ,0.00 ,40.50 ,0.84 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.84 ,6.90 ,12.90 ,17.82 ,40.50 ,33.06 ,27.36 ,29.52 ,23.76 ,15.18 ,12.42 ,8.10 ,2.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-04,1,발전량,349.86 ,15.00 ,57.84 ,0.00 ,57.84 ,1.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.02 ,5.46 ,14.10 ,25.80 ,37.20 ,38.34 ,43.80 ,57.84 ,46.86 ,34.74 ,18.24 ,21.66 ,4.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-05,1,발전량,211.26 ,9.00 ,35.16 ,0.00 ,35.16 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.86 ,6.72 ,15.78 ,27.42 ,30.90 ,35.16 ,18.60 ,32.46 ,14.82 ,13.50 ,8.16 ,5.40 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-06,1,발전량,78.84 ,3.00 ,11.16 ,0.00 ,11.16 ,1.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.02 ,4.38 ,7.86 ,8.40 ,3.60 ,7.98 ,8.58 ,11.16 ,10.74 ,8.76 ,3.36 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-07,1,발전량,82.68 ,3.00 ,18.42 ,0.00 ,18.42 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.08 ,3.84 ,6.30 ,11.22 ,18.42 ,13.14 ,15.72 ,6.12 ,3.42 ,3.12 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-08,1,발전량,53.10 ,2.00 ,10.44 ,0.00 ,10.44 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.36 ,1.98 ,10.44 ,10.02 ,5.46 ,4.50 ,3.72 ,9.18 ,3.30 ,3.00 ,1.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-09,1,발전량,333.24 ,14.00 ,59.10 ,0.00 ,59.10 ,1.56 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.56 ,6.42 ,13.44 ,19.20 ,30.30 ,40.50 ,59.10 ,51.90 ,44.40 ,22.38 ,27.84 ,16.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-10,1,발전량,125.88 ,5.00 ,26.76 ,0.00 ,26.76 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.08 ,9.60 ,13.20 ,17.04 ,26.76 ,13.08 ,13.14 ,17.46 ,6.18 ,4.86 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-11,1,발전량,170.94 ,7.00 ,40.26 ,0.00 ,40.26 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.26 ,6.24 ,12.54 ,21.90 ,39.12 ,40.26 ,28.68 ,9.60 ,5.10 ,1.92 ,3.60 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-12,1,발전량,191.88 ,8.00 ,40.14 ,0.00 ,40.14 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.96 ,4.92 ,14.34 ,14.94 ,0.72 ,7.86 ,22.14 ,14.58 ,33.00 ,40.14 ,20.16 ,12.84 ,5.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-13,1,발전량,409.02 ,17.00 ,55.50 ,0.00 ,55.50 ,1.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.44 ,4.92 ,11.76 ,25.80 ,36.84 ,45.18 ,43.68 ,51.36 ,55.50 ,53.58 ,44.28 ,27.90 ,6.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-14,1,발전량,394.80 ,16.00 ,56.82 ,0.00 ,56.82 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.48 ,4.68 ,9.24 ,23.10 ,5.40 ,4.86 ,22.50 ,56.82 ,53.52 ,47.64 ,40.56 ,20.70 ,47.94 ,48.36 ,9.00 ,0.00 ,0.00 ,0.00 
2020-08-15,1,발전량,327.90 ,14.00 ,50.70 ,0.00 ,50.70 ,2.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.22 ,8.28 ,26.76 ,31.80 ,31.80 ,19.68 ,49.98 ,50.70 ,42.30 ,36.06 ,20.82 ,7.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-16,1,발전량,401.40 ,17.00 ,56.40 ,0.00 ,56.40 ,1.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.02 ,7.38 ,22.38 ,35.76 ,41.94 ,52.56 ,56.40 ,55.38 ,51.12 ,42.60 ,27.06 ,7.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-17,1,발전량,379.44 ,16.00 ,53.64 ,0.00 ,53.64 ,0.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.54 ,2.88 ,8.70 ,22.74 ,6.00 ,4.50 ,4.68 ,47.34 ,53.28 ,49.14 ,41.52 ,27.00 ,53.64 ,48.30 ,9.18 ,0.00 ,0.00 ,0.00 
2020-08-18,1,발전량,406.98 ,17.00 ,67.62 ,0.00 ,67.62 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.48 ,3.42 ,8.46 ,3.84 ,4.56 ,4.02 ,4.74 ,52.98 ,53.16 ,65.52 ,67.62 ,67.56 ,55.44 ,15.18 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-19,1,발전량,379.74 ,16.00 ,68.16 ,0.00 ,68.16 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.42 ,3.18 ,8.76 ,4.98 ,4.62 ,4.74 ,4.92 ,9.84 ,53.88 ,67.86 ,68.16 ,65.76 ,56.04 ,26.58 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-20,1,발전량,364.44 ,15.00 ,68.04 ,0.00 ,68.04 ,0.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.18 ,1.92 ,7.50 ,5.04 ,4.68 ,4.98 ,5.10 ,11.40 ,53.04 ,66.18 ,68.04 ,67.14 ,54.48 ,14.76 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-21,1,발전량,313.50 ,13.00 ,69.30 ,0.00 ,69.30 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.42 ,3.78 ,8.40 ,4.86 ,3.96 ,4.74 ,4.62 ,4.74 ,18.18 ,64.92 ,69.30 ,66.18 ,53.82 ,5.58 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-22,1,발전량,171.96 ,7.00 ,52.98 ,0.00 ,52.98 ,2.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.10 ,5.76 ,9.24 ,4.56 ,3.18 ,4.38 ,4.62 ,3.12 ,4.08 ,52.98 ,41.46 ,32.82 ,3.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-23,1,발전량,223.92 ,9.00 ,54.42 ,0.00 ,54.42 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.48 ,4.56 ,3.96 ,3.90 ,4.14 ,5.10 ,3.30 ,37.98 ,54.42 ,46.14 ,36.84 ,19.92 ,3.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-24,1,발전량,440.70 ,18.00 ,68.52 ,0.00 ,68.52 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.72 ,3.06 ,3.66 ,4.08 ,4.44 ,42.24 ,51.54 ,53.70 ,68.52 ,65.04 ,68.52 ,68.16 ,7.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-25,1,발전량,404.10 ,17.00 ,68.82 ,0.00 ,68.82 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.36 ,3.24 ,8.22 ,4.68 ,4.26 ,4.86 ,10.68 ,48.06 ,50.16 ,67.56 ,68.82 ,66.90 ,53.10 ,13.20 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-26,1,발전량,180.60 ,8.00 ,54.00 ,0.00 ,54.00 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.12 ,2.58 ,6.18 ,4.14 ,4.20 ,4.74 ,3.00 ,5.34 ,3.30 ,46.32 ,54.00 ,46.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-27,1,발전량,121.02 ,5.00 ,46.20 ,0.00 ,46.20 ,2.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.88 ,4.08 ,3.48 ,4.20 ,3.84 ,3.96 ,3.60 ,35.82 ,46.20 ,12.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-28,1,발전량,259.44 ,11.00 ,74.88 ,0.00 ,74.88 ,2.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.40 ,8.04 ,4.56 ,6.18 ,4.86 ,4.08 ,3.60 ,4.26 ,61.08 ,74.88 ,61.38 ,24.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-29,1,발전량,354.18 ,15.00 ,74.58 ,0.00 ,74.58 ,2.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.30 ,6.36 ,3.66 ,4.80 ,4.56 ,5.16 ,16.08 ,43.80 ,68.94 ,74.58 ,69.90 ,50.46 ,2.58 ,0.00 ,0.00 ,0.00 ,0.00 
